,HURTO A ENTIDADES COMERCIALES,HURTO A PERSONAS,LESIONES CULPOSAS (EN ACCIDENTE DE TRANSITO),HURTO A RESIDENCIAS,LESIONES PERSONALES,HURTO A MOTOCICLETAS,HOMICIDIO CULPOSO (EN ACCIDENTE DE TRÁNSITO),EXTORSIÓN,VIOLENCIA INTRAFAMILIAR,HOMICIDIO,HURTO A AUTOMOTORES,LESIONES CULPOSAS,ACTO SEXUAL VIOLENTO,ACCESO CARNAL VIOLENTO,ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,FEMINICIDIO,HURTO A ABIGEATO,ACTOS SEXUALES CON MENOR DE 14 AÑOS,ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON PERSONA EN INCAPACIDAD DE RESISTIR,LESIONES PERSONALES (CIRCUNSTANCIAS DE AGRAVACIÓN),ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ACOSO SEXUAL,UTILIZACIÓN O FACILITACIÓN DE MEDIOS DE COMUNICACIÓN PARA OFRECER SERVICIOS SEXUALES DE MENORES,PORNOGRAFÍA CON MENORES,VICTIMA_POINT,GENERO_VICTIMA,EDAD_VICTIMA,COMUNA,UNIDAD_ESPACIAL
10,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 21.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",MASCULINO,21.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
11,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 22.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",MASCULINO,22.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
12,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 41.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",FEMENINO,41.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
13,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 20.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",FEMENINO,20.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
14,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 37.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",MASCULINO,37.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
15,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 26.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",FEMENINO,26.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
16,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 31.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",FEMENINO,31.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
17,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 37.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",FEMENINO,37.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
18,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 30.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",MASCULINO,30.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
19,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 27.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",MASCULINO,27.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
20,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 43.0, CABECERA DEL LLANO, ALVAREZ LAS AMERICAS",FEMENINO,43.0,CABECERA DEL LLANO,ALVAREZ LAS AMERICAS
21,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 31.0, CABECERA DEL LLANO, ANTONIA SANTOS CENTRO",FEMENINO,31.0,CABECERA DEL LLANO,ANTONIA SANTOS CENTRO
22,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 25.0, CABECERA DEL LLANO, ANTONIA SANTOS CENTRO",FEMENINO,25.0,CABECERA DEL LLANO,ANTONIA SANTOS CENTRO
23,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 36.0, CABECERA DEL LLANO, ANTONIA SANTOS CENTRO",FEMENINO,36.0,CABECERA DEL LLANO,ANTONIA SANTOS CENTRO
24,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 30.0, CABECERA DEL LLANO, ANTONIA SANTOS CENTRO",MASCULINO,30.0,CABECERA DEL LLANO,ANTONIA SANTOS CENTRO
25,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 24.0, CABECERA DEL LLANO, ANTONIA SANTOS SUR",FEMENINO,24.0,CABECERA DEL LLANO,ANTONIA SANTOS SUR
26,0.6711409395973155,3.355704697986577,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 31.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,31.0,CABECERA DEL LLANO,BOLARQUI
27,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 20.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,20.0,CABECERA DEL LLANO,BOLARQUI
28,0.0,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 59.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,59.0,CABECERA DEL LLANO,BOLARQUI
29,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 40.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,40.0,CABECERA DEL LLANO,BOLARQUI
30,0.0,2.013422818791946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 54.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,54.0,CABECERA DEL LLANO,BOLARQUI
31,0.0,1.342281879194631,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 30.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,30.0,CABECERA DEL LLANO,BOLARQUI
32,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 37.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,37.0,CABECERA DEL LLANO,BOLARQUI
33,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 53.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,53.0,CABECERA DEL LLANO,BOLARQUI
34,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 41.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,41.0,CABECERA DEL LLANO,BOLARQUI
35,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 25.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,25.0,CABECERA DEL LLANO,BOLARQUI
36,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 18.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,18.0,CABECERA DEL LLANO,BOLARQUI
37,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 54.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,54.0,CABECERA DEL LLANO,BOLARQUI
38,0.0,1.342281879194631,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 35.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,35.0,CABECERA DEL LLANO,BOLARQUI
39,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 73.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,73.0,CABECERA DEL LLANO,BOLARQUI
40,0.0,0.6711409395973155,0.6711409395973155,0.6711409395973155,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 36.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,36.0,CABECERA DEL LLANO,BOLARQUI
41,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 63.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,63.0,CABECERA DEL LLANO,BOLARQUI
42,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 64.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,64.0,CABECERA DEL LLANO,BOLARQUI
43,0.0,1.342281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 56.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,56.0,CABECERA DEL LLANO,BOLARQUI
44,0.0,2.013422818791946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 26.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,26.0,CABECERA DEL LLANO,BOLARQUI
45,0.0,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 34.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,34.0,CABECERA DEL LLANO,BOLARQUI
46,0.0,0.0,0.0,1.342281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 60.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,60.0,CABECERA DEL LLANO,BOLARQUI
47,0.0,0.6711409395973155,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 27.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,27.0,CABECERA DEL LLANO,BOLARQUI
48,0.0,0.6711409395973155,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 38.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,38.0,CABECERA DEL LLANO,BOLARQUI
49,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 59.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,59.0,CABECERA DEL LLANO,BOLARQUI
50,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 38.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,38.0,CABECERA DEL LLANO,BOLARQUI
51,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 12.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,12.0,CABECERA DEL LLANO,BOLARQUI
52,0.6711409395973155,2.684563758389262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 58.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,58.0,CABECERA DEL LLANO,BOLARQUI
53,0.0,2.013422818791946,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 39.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,39.0,CABECERA DEL LLANO,BOLARQUI
54,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 39.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,39.0,CABECERA DEL LLANO,BOLARQUI
55,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 34.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,34.0,CABECERA DEL LLANO,BOLARQUI
56,0.0,1.342281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 33.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,33.0,CABECERA DEL LLANO,BOLARQUI
57,0.0,1.342281879194631,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 28.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,28.0,CABECERA DEL LLANO,BOLARQUI
58,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 41.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,41.0,CABECERA DEL LLANO,BOLARQUI
59,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 78.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,78.0,CABECERA DEL LLANO,BOLARQUI
60,0.0,2.684563758389262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 19.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,19.0,CABECERA DEL LLANO,BOLARQUI
61,0.0,2.013422818791946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 32.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,32.0,CABECERA DEL LLANO,BOLARQUI
62,0.0,0.0,0.0,0.6711409395973155,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 24.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,24.0,CABECERA DEL LLANO,BOLARQUI
63,0.0,2.013422818791946,0.6711409395973155,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 24.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,24.0,CABECERA DEL LLANO,BOLARQUI
64,0.0,0.6711409395973155,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 46.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,46.0,CABECERA DEL LLANO,BOLARQUI
65,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 27.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,27.0,CABECERA DEL LLANO,BOLARQUI
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 53.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,53.0,CABECERA DEL LLANO,BOLARQUI
67,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 49.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,49.0,CABECERA DEL LLANO,BOLARQUI
68,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 21.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,21.0,CABECERA DEL LLANO,BOLARQUI
69,0.0,1.342281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 22.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,22.0,CABECERA DEL LLANO,BOLARQUI
70,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"FEMENINO, 22.0, CABECERA DEL LLANO, BOLARQUI",FEMENINO,22.0,CABECERA DEL LLANO,BOLARQUI
71,0.0,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 48.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,48.0,CABECERA DEL LLANO,BOLARQUI
72,0.0,1.342281879194631,0.0,0.0,1.342281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MASCULINO, 26.0, CABECERA DEL LLANO, BOLARQUI",MASCULINO,26.0,CABECERA DEL LLANO,BOLARQUI
